id,cost,status,xloc,yloc
88,1,0,227278.35805708,1019005.02543397
89,1,0,238024.05737532,1019005.02543397
90,1,0,248769.75669355,1019005.02543397
91,1,0,259515.45601179,1019005.02543397
92,1,0,270261.15533002,1019005.02543397
93,1,0,281006.85464826,1019005.02543397
94,1,0,291752.55396649,1019005.02543397
95,1,0,463683.74305826,1019005.02543397
96,1,0,474429.4423765,1019005.02543397
97,1,0,485175.14169473,1019005.02543397
98,1,0,221905.50839796,1028311.07402499
99,1,0,232651.2077162,1028311.07402499
100,1,0,243396.90703444,1028311.07402499
101,1,0,254142.60635267,1028311.07402499
102,1,0,264888.30567091,1028311.07402499
103,1,0,275634.00498914,1028311.07402499
104,1,0,286379.70430738,1028311.07402499
105,1,0,490547.99135385,1028311.07402499
106,1,0,216532.65873885,1037617.12261602
107,1,0,227278.35805708,1037617.12261602
108,1,0,238024.05737532,1037617.12261601
109,1,0,248769.75669355,1037617.12261602
110,1,0,259515.45601179,1037617.12261601
111,1,0,270261.15533002,1037617.12261601
112,1,0,463683.74305826,1037617.12261602
113,1,0,485175.14169473,1037617.12261602
114,1,0,211159.80907973,1046923.17120704
115,1,0,221905.50839796,1046923.17120704
116,1,0,232651.2077162,1046923.17120704
117,1,0,243396.90703444,1046923.17120704
118,1,0,436819.49476267,1046923.17120704
119,1,0,479802.29203561,1046923.17120704
120,1,0,205786.95942061,1056229.21979806
121,1,0,216532.65873885,1056229.21979806
122,1,0,227278.35805708,1056229.21979806
123,1,0,238024.05737532,1056229.21979806
124,1,0,399209.54714885,1056229.21979806
125,1,0,409955.24646708,1056229.21979806
126,1,0,442192.34442179,1056229.21979806
127,1,0,452938.04374003,1056229.21979806
128,1,0,463683.74305826,1056229.21979806
129,1,0,200414.10976149,1065535.26838907
130,1,0,211159.80907973,1065535.26838908
131,1,0,221905.50839796,1065535.26838908
132,1,0,393836.69748973,1065535.26838908
133,1,0,404582.39680797,1065535.26838908
134,1,0,426073.79544444,1065535.26838908
135,1,0,195041.26010238,1074841.3169801
136,1,0,205786.95942061,1074841.3169801
137,1,0,216532.65873885,1074841.3169801
138,1,0,377718.14851238,1074841.31698009
139,1,0,388463.84783061,1074841.3169801
140,1,0,399209.54714885,1074841.3169801
141,1,0,431446.64510356,1074841.3169801
142,1,0,485175.14169473,1074841.3169801
143,1,0,189668.41044326,1084147.36557112
144,1,0,200414.10976149,1084147.36557112
145,1,0,211159.80907973,1084147.36557112
146,1,0,372345.29885326,1084147.36557112
147,1,0,383090.9981715,1084147.36557112
148,1,0,393836.69748973,1084147.36557112
149,1,0,415328.0961262,1084147.36557112
150,1,0,173549.86146591,1093453.41416214
151,1,0,184295.56078414,1093453.41416214
152,1,0,195041.26010238,1093453.41416214
153,1,0,205786.95942061,1093453.41416214
154,1,0,409955.24646708,1093453.41416214
155,1,0,168177.01180679,1102759.46275316
156,1,0,178922.71112502,1102759.46275316
157,1,0,189668.41044326,1102759.46275316
158,1,0,361599.59953502,1102759.46275316
159,1,0,372345.29885326,1102759.46275316
160,1,0,426073.79544444,1102759.46275316
161,1,0,162804.16214767,1112065.51134418
162,1,0,173549.86146591,1112065.51134418
163,1,0,356226.74987591,1112065.51134418
164,1,0,366972.44919414,1112065.51134418
165,1,0,377718.14851238,1112065.51134418
166,1,0,146685.61317032,1121371.5599352
