species,pu,amount
2,69,0
3,69,3
4,69,0.000390103755047315
5,69,0
6,69,0
1,70,0
2,70,0
3,70,2
4,70,0.000243089368830175
5,70,0
6,70,0
1,71,2
2,71,0
3,71,0
4,71,0
5,71,0
6,71,0
1,72,0
2,72,0
3,72,0
4,72,0
5,72,0
6,72,0
1,73,0
2,73,0
3,73,0
4,73,0
5,73,2
6,73,1.07742339864684e-06
1,74,0
2,74,0
3,74,0
4,74,0
5,74,0
6,74,0
1,75,0
2,75,0
3,75,0
4,75,0
5,75,0
6,75,0
1,76,0
2,76,0
3,76,0
4,76,0
5,76,0
6,76,0
1,77,0
2,77,0
3,77,1
4,77,7.09136266785466e-05
5,77,0
6,77,0
1,78,11
2,78,1.17077581452798e-17
3,78,3
4,78,0.000205041122298312
5,78,0
6,78,0
1,79,0
2,79,0
3,79,0
4,79,0
5,79,0
6,79,0
1,80,0
2,80,0
3,80,0
4,80,0
5,80,1
6,80,5.29858511927477e-07
1,81,0
2,81,0
3,81,0
4,81,0
5,81,1
6,81,3.77361150490995e-07
1,82,0
2,82,0
3,82,0
4,82,0
5,82,0
6,82,0
1,83,0
2,83,0
3,83,0
4,83,0
5,83,1
6,83,7.89883230816162e-07
1,84,0
2,84,0
3,84,0
4,84,0
5,84,0
6,84,0
1,85,0
2,85,0
3,85,0
4,85,0
5,85,0
6,85,0
1,86,2
2,86,5.4335365882817e-18
3,86,0
4,86,0
5,86,0
6,86,0
1,87,0
2,87,0
3,87,2
4,87,0.000118806572490953
5,87,1.5
6,87,4.8404822986802e-07
1,88,0
2,88,0
3,88,0
4,88,0
5,88,3.5
6,88,0.000422329340629588
1,89,0
2,89,0
3,89,0
4,89,0
5,89,0
6,89,0
1,90,0
2,90,0
3,90,0
4,90,0
5,90,2
6,90,1.68150731312734e-06
1,91,0
2,91,0
3,91,0
4,91,0
5,91,0
6,91,0
1,92,0
2,92,0
3,92,0
4,92,0
5,92,0
6,92,0
1,93,0
2,93,0
3,93,0
4,93,0
5,93,0
