species,pu,amount
1,1,0
2,1,0
1,2,0
2,2,0
1,3,0
2,3,0
1,4,0
2,4,0
1,5,0
2,5,0
1,6,0
2,6,0
1,7,0
2,7,0
1,8,0
2,8,0
1,9,2.77777777777778
2,9,2.78889114113256e-18
1,10,2.25
2,10,2.56359840887624e-18
1,11,0
2,11,0
1,12,0
2,12,0
1,13,0
2,13,0
1,14,0
2,14,0
1,15,0
2,15,0
1,16,0
2,16,0
1,17,0
2,17,0
1,18,0
2,18,0
1,19,11.7
2,19,3.43690896411151e-18
1,20,0
2,20,0
1,21,4.1
2,21,2.12910932031754e-18
1,22,2.5
2,22,1.17051245461202e-18
1,23,0
2,23,0
1,24,0
2,24,0
1,25,0
2,25,0
1,26,0
2,26,0
1,27,0
2,27,0
1,28,0
2,28,0
1,29,0
2,29,0
1,30,0
2,30,0
1,31,1.16666666666667
2,31,8.18975827390397e-19
1,32,5.44444444444444
2,32,4.23344515287626e-18
1,33,3.22222222222222
2,33,2.9693501981925e-18
1,34,6.5
2,34,3.33148674538372e-18
1,35,0
2,35,0
1,36,0
2,36,0
1,37,0
2,37,0
1,38,11.3
2,38,3.76845747729528e-18
1,39,2
2,39,6.48047307554902e-18
1,40,0
2,40,0
1,41,0
2,41,0
1,42,0
2,42,0
1,43,0
2,43,0
1,44,1.4
2,44,1.34202406862833e-18
1,45,10.1
2,45,4.05986710037751e-18
1,46,0
2,46,0
1,47,0
2,47,0
1,48,0
2,48,0
1,49,0
2,49,0
1,50,0
2,50,0
1,51,0
2,51,0
1,52,0
2,52,0
1,53,3.625
2,53,1.17644424759032e-17
1,54,1.66666666666667
2,54,3.12961492792976e-18
1,55,5.11111111111111
2,55,3.31476256583368e-18
1,56,0
2,56,0
1,57,0
2,57,0
1,58,0
2,58,0
1,59,0
2,59,0
1,60,0
2,60,0
1,61,9.2
2,61,3.03486531833243e-17
1,62,20.3
2,62,2.39211693187231e-17
1,63,22.4
2,63,8.95738311173144e-18
1,64,0
2,64,0
1,65,0
2,65,0
1,66,0
2,66,0
1,67,0
2,67,0
1,68,0
2,68,0
1,69,15.7
2,69,2.29116413145819e-17
1,70,34.5
2,70,3.97810496220816e-17
1,71,30.9
2,71,1.11005109550413e-17
1,72,0
2,72,0
1,73,0
2,73,0
1,74,0
2,74,0
1,75,0
2,75,0
1,76,7.1
2,76,2.767871254672e-18
1,77,38.4
2,77,1.55123075465235e-17
