species,pu,amount
5,56,36.4444444444444
6,56,3.00716252914029e-05
1,57,0
2,57,0
3,57,0
4,57,0
5,57,8.4
6,57,4.41032546717223e-05
1,58,0
2,58,0
3,58,0
4,58,0
5,58,3
6,58,6.92524619648297e-06
1,59,0
2,59,0
3,59,0
4,59,0
5,59,2
6,59,9.13593893935871e-06
1,60,0
2,60,0
3,60,0
4,60,0
5,60,6.77777777777778
6,60,1.39984815958225e-05
1,61,0
2,61,0
3,61,3.28571428571429
4,61,0.00148825414284637
5,61,7.77777777777778
6,61,1.32160918713906e-05
1,62,0
2,62,0
3,62,6.5
4,62,0.000897724970079817
5,62,3
6,62,1.91595308681857e-05
1,63,1.5
2,63,3.35281821894787e-19
3,63,2.8
4,63,0.00164018454885574
5,63,1
6,63,5.14148337024185e-08
1,64,0
2,64,0
3,64,0
4,64,0
5,64,204.2
6,64,2.44095072860996e-05
1,65,0
2,65,0
3,65,0
4,65,0
5,65,108.666666666667
6,65,3.10669709060039e-05
1,66,0
2,66,0
3,66,0
4,66,0
5,66,21.2
6,66,4.919627506725e-05
1,67,0
2,67,0
3,67,0
4,67,0
5,67,2.8
6,67,7.43429487678067e-06
1,68,0
2,68,0
3,68,0
4,68,0
5,68,1
6,68,2.00240346984887e-08
1,69,0
2,69,0
3,69,12.3
4,69,0.00248668378576469
5,69,1.2
6,69,9.64114126995942e-07
1,70,0
2,70,0
3,70,55.1
4,70,0.00210510443652286
5,70,1
6,70,2.20167028590267e-06
1,71,18.2
2,71,1.4708908090216e-18
3,71,17.2
4,71,0.000875271207403181
5,71,0
6,71,0
1,72,1.28571428571429
2,72,3.12286778224003e-18
3,72,0
4,72,0
5,72,0
6,72,0
1,73,0
2,73,0
3,73,0
4,73,0
5,73,119.2
6,73,3.47182779949446e-05
1,74,0
2,74,0
3,74,0
4,74,0
5,74,27.9
6,74,5.25781414157742e-05
1,75,0
2,75,0
3,75,0
4,75,0
5,75,2
6,75,2.1461194517371e-05
1,76,0
2,76,0
3,76,0
4,76,0
5,76,0
6,76,0
1,77,0
2,77,0
3,77,8
4,77,0.00136089597130114
5,77,0
6,77,0
1,78,355.5
2,78,7.69239742300672e-18
3,78,43.8
4,78,0.00213467694242213
5,78,0
6,78,0
1,79,0
2,79,0
3,79,2
4,79,0.000141967822285498
5,79,5.9
6,79,0.000748460166344618
1,80,0
2,80,0
3,80,0
4,80,0
5,80,39.1
6,80,8.6171230630493e-05
1,81,0
2,81,0
3,81,0
4,81,0
5,81,101.333333333333
6,81,3.23956852775474e-05
1,82,0
2,82,0
3,82,0
4,82,0
5,82,63.2
6,82,5.19866354056356e-05
1,83,0
2,83,0
3,83,0
4,83,0
5,83,29.4
6,83,6.45249024674983e-05
1,84,0
2,84,0
3,84,0
4,84,0
5,84,2
6,84,1.80024866087616e-05
1,85,0
2,85,0
3,85,1
4,85,2.82982613573286e-05
5,85,0
6,85,0
1,86,4.1
2,86,3.24499612183513e-18
3,86,1.4
4,86,0.00103315344971561
5,86,0
6,86,0
1,87,0
2,87,0
3,87,2.9
4,87,0.00145999311750188
5,87,16.6
6,87,0.000435594968587404
1,88,0
2,88,0
3,88,0
4,88,0
5,88,47.7
6,88,0.000156077871630789
1,89,0
2,89,0
3,89,0
4,89,0
5,89,108.888888888889
6,89,3.33804248709535e-05
1,90,0
2,90,0
3,90,0
4,90,0
5,90,83.6
6,90,6.44216905534619e-05
1,91,0
2,91,0
3,91,0
4,91,0
5,91,35.2
6,91,6.09491535622282e-05
1,92,0
2,92,0
3,92,1
4,92,0.000355793260526164
5,92,1.75
6,92,2.44601930331788e-05
1,93,1.85714285714286
2,93,2.0500454451364e-18
3,93,1
4,93,9.69552274616098e-05
5,93,0
6,93,0
1,94,9.5
2,94,4.02850100174236e-18
3,94,1
4,94,0.000247521363893363
5,94,0
6,94,0
1,95,126.9
2,95,6.23140657669715e-18
3,95,3.55555555555556
4,95,0.0274474443417292
5,95,0
6,95,0
1,96,30.2
2,96,6.3625547162394e-18
3,96,5.9
4,96,0.00771573160831281
5,96,25.1
6,96,0.00651620771717877
1,97,0
2,97,0
3,97,1.25
4,97,0.000745726844278539
5,97,10.9
6,97,0.000618412968238799
1,98,0
2,98,0
3,98,0
4,98,0
5,98,39.9
6,98,0.000308858331005938
1,99,0
2,99,0
3,99,0
4,99,0
5,99,61.9
6,99,6.24145251338147e-05
1,100,0
2,100,0
3,100,0
4,100,0
5,100,59.1
6,100,6.13583590322553e-05
1,101,0
2,101,0
3,101,1.5
4,101,0.000114596313363152
5,101,10.5
6,101,5.32352210057001e-05
1,102,0
2,102,0
3,102,1.66666666666667
4,102,0.000222977457381614
5,102,0
6,102,0
1,103,2.66666666666667
2,103,2.63597952477964e-18
3,103,0
4,103,0
5,103,0
6,103,0
1,104,14.4
2,104,4.79567602819525e-18
3,104,0
4,104,0
5,104,0
6,104,0
1,105,3.5
2,105,6.76869601831523e-19
3,105,4.8
4,105,0.00114078216516208
5,105,4
6,105,5.03424172079419e-07
1,106,0
2,106,0
3,106,0
4,106,0
5,106,38.5555555555556
6,106,7.54015963764766e-05
1,107,0
2,107,0
3,107,0
4,107,0
5,107,65
6,107,2.63547839044154e-05
1,108,0
2,108,0
3,108,1
4,108,4.38728954924495e-06
5,108,15.4
6,108,3.81548428562372e-05
1,109,1.5
2,109,2.54225484156935e-18
3,109,1
4,109,0.000111669086621561
5,109,0
6,109,0
1,110,4
2,110,6.18191484414192e-18
3,110,1
4,110,0.000171480721227222
5,110,0
6,110,0
1,111,6.7
2,111,6.90959492634963e-18
3,111,0
4,111,0
5,111,0
6,111,0
1,112,0
2,112,0
3,112,1.33333333333333
4,112,5.01322339398962e-06
5,112,31.5
6,112,0.00101148632007928
1,113,30.3
2,113,4.26791880114098e-18
3,113,1.44444444444444
4,113,0.000184981470867518
5,113,14.6
6,113,0.000442561794199906
1,114,0
2,114,0
3,114,0
