spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
2,0,21.4017,0,0,5.35043,731,0,194,0
1,1,14725.3,0,0,3681.33,731,0,194,0
