species,pu,amount
1,1,3.33333333333333
2,1,6.04306525175587e-05
1,2,1.33333333333333
2,2,4.59065961606156e-05
1,3,0
2,3,0
1,4,1
2,4,1.97061893664785e-05
1,5,1
2,5,6.92504105587932e-06
1,6,1.42857142857143
2,6,1.46026242699125e-05
1,7,1
2,7,1.00502496741049e-06
1,8,0
2,8,0
1,9,0
2,9,0
1,10,1
2,10,1.02546799970518e-05
1,11,1
2,11,3.994615445353e-12
1,12,1.5
2,12,3.7122518363549e-09
1,13,1
2,13,8.70271616922229e-13
1,14,1.33333333333333
2,14,5.78415372901486e-06
1,15,1.4
2,15,7.28669638359269e-06
1,16,1
2,16,1.12020652079852e-05
1,17,0
2,17,0
1,18,1
2,18,1.30660435456293e-06
1,19,0
2,19,0
1,20,1.5
2,20,1.86896628572071e-06
1,21,2
2,21,2.22464890728656e-07
1,22,0
2,22,0
1,23,0
2,23,0
1,24,0
2,24,0
1,25,1
2,25,9.85819185221856e-06
1,26,1
2,26,2.67266657663225e-05
1,27,1
2,27,4.13853073033551e-17
1,28,1
2,28,8.36480083859423e-06
1,29,1.66666666666667
2,29,3.5176377343802e-06
1,30,1
2,30,2.40121148930684e-05
1,31,0
2,31,0
1,32,1
2,32,2.96738718486227e-06
1,33,1
2,33,8.9543579881116e-08
1,34,1
2,34,5.45563889342627e-07
1,35,2.5
2,35,4.74581348679795e-05
1,36,1
2,36,1.34893781364675e-06
1,37,1
2,37,1.02461412548645e-05
1,38,2
2,38,2.08441833392582e-09
1,39,1
2,39,4.06398514613883e-05
1,40,1.5
2,40,8.64476958759823e-06
1,41,1
2,41,3.77228944865392e-06
1,42,1
2,42,5.79826401192146e-07
1,43,0
2,43,0
1,44,0
2,44,0
1,45,0
2,45,0
1,46,1.33333333333333
2,46,2.89460900532155e-05
1,47,0
2,47,0
1,48,1
2,48,2.45744609123929e-06
1,49,1
2,49,2.63637676707146e-05
1,50,2.25
2,50,4.0602367419665e-05
1,51,2
2,51,5.67122070847096e-05
1,52,0
2,52,0
1,53,0
2,53,0
1,54,0
2,54,0
1,55,0
2,55,0
1,56,1.57142857142857
2,56,4.29307076328403e-05
1,57,0
2,57,0
1,58,1
2,58,1.34521936502683e-08
1,59,0
2,59,0
1,60,1
2,60,3.68527257848672e-05
1,61,1
2,61,3.59173935441755e-05
1,62,1.5
2,62,5.75518669962618e-05
1,63,0
2,63,0
1,64,3.66666666666667
2,64,5.37591936165416e-05
1,65,2.83333333333333
2,65,5.71774918769162e-05
1,66,1.33333333333333
2,66,1.73848921374677e-05
1,67,1
2,67,3.56292157192307e-12
1,68,0
2,68,0
1,69,1
2,69,3.92046145285591e-07
1,70,1
2,70,6.14469257490819e-18
1,71,0
2,71,0
1,72,0
2,72,0
1,73,2.5
2,73,4.34297938585225e-05
1,74,1
2,74,6.14883350679838e-05
1,75,0
2,75,0
1,76,1
2,76,5.84820708702847e-06
1,77,0
2,77,0
1,78,0
2,78,0
1,79,1
2,79,8.32747486075917e-08
1,80,1.6
2,80,1.6411421194941e-05
1,81,2
2,81,3.57943376414875e-05
1,82,2
2,82,1.55037030974933e-05
1,83,1
2,83,0.000143866687475669
1,84,1
2,84,4.8330540312534e-12
1,85,0
2,85,0
1,86,0
2,86,0
1,87,1
2,87,8.41042471257657e-14
1,88,1.8
2,88,7.23195320256991e-06
1,89,2.5
2,89,5.97493868534273e-05
1,90,2.6
2,90,9.46196909398014e-06
1,91,1.2
2,91,7.23937285422199e-05
1,92,1
2,92,1.09195402077977e-05
1,93,0
2,93,0
1,94,0
2,94,0
1,95,0
2,95,0
1,96,2.5
2,96,1.75408813611938e-06
1,97,1
2,97,1.14573470785592e-07
1,98,1
2,98,6.51302230924969e-06
1,99,2.6
2,99,1.46950473356716e-05
1,100,2.28571428571429
2,100,6.00014058962727e-05
1,101,1.25
2,101,0.000172546017122584
1,102,0
2,102,0
1,103,0
2,103,0
1,104,0
2,104,0
1,105,1
2,105,4.39981414007197e-09
1,106,1.66666666666667
2,106,8.50654112154693e-05
1,107,1.33333333333333
2,107,1.94963968658756e-05
1,108,1.33333333333333
2,108,4.55309485784535e-05
1,109,0
2,109,0
1,110,0
2,110,0
1,111,0
2,111,0
1,112,2
2,112,3.67019862433587e-17
1,113,1
2,113,3.8680089520339e-06
1,114,1.25
2,114,2.00180576506403e-05
1,115,1.71428571428571
2,115,3.43409248052737e-05
1,116,1
2,116,2.63567326076483e-07
1,117,0
2,117,0
1,118,3.44444444444444
2,118,5.46988893958622e-06
1,119,1
2,119,2.60582393252549e-08
1,120,1
2,120,3.8800201466215e-06
1,121,1.66666666666667
2,121,3.68960070176914e-05
1,122,2
2,122,3.75807460939719e-17
1,123,0
2,123,0
1,124,1
