id,cost,status,xloc,yloc
65,0.1,3,264888.30567091,991086.87966091
66,0.1,3,275634.00498914,991086.87966091
67,0.1,3,286379.70430738,991086.87966091
68,0.1,3,297125.40362561,991086.87966091
69,0.1,0,307871.10294385,991086.87966091
70,0.1,0,318616.80226208,991086.87966091
71,0.1,0,329362.50158032,991086.87966091
72,0.1,3,490547.99135385,991086.87966091
73,0.1,3,259515.45601179,1000392.92825193
74,0.1,3,270261.15533002,1000392.92825193
75,0.1,3,281006.85464826,1000392.92825193
76,0.1,3,291752.55396649,1000392.92825193
77,0.1,0,302498.25328473,1000392.92825193
78,0.1,0,313243.95260297,1000392.92825193
79,0.1,0,506666.5403312,1000392.92825193
80,0.1,3,232651.2077162,1009698.97684295
81,0.1,3,243396.90703444,1009698.97684295
82,0.1,3,254142.60635267,1009698.97684295
83,0.1,3,264888.30567091,1009698.97684295
84,0.1,3,275634.00498914,1009698.97684295
85,0.1,0,286379.70430738,1009698.97684295
86,0.1,0,297125.40362561,1009698.97684295
87,0.1,0,490547.99135385,1009698.97684295
88,0.1,3,227278.35805708,1019005.02543397
89,0.1,3,238024.05737532,1019005.02543397
90,0.1,3,248769.75669355,1019005.02543397
91,0.1,3,259515.45601179,1019005.02543397
92,0.1,0,270261.15533002,1019005.02543397
93,0.1,3,281006.85464826,1019005.02543397
94,0.1,3,291752.55396649,1019005.02543397
95,0.1,0,463683.74305826,1019005.02543397
96,0.1,0,474429.4423765,1019005.02543397
97,0.1,0,485175.14169473,1019005.02543397
98,0.1,3,221905.50839796,1028311.07402499
99,0.1,3,232651.2077162,1028311.07402499
100,0.1,3,243396.90703444,1028311.07402499
101,0.1,0,254142.60635267,1028311.07402499
102,0.1,0,264888.30567091,1028311.07402499
103,0.1,3,275634.00498914,1028311.07402499
104,0.1,3,286379.70430738,1028311.07402499
105,0.1,0,490547.99135385,1028311.07402499
106,0.1,3,216532.65873885,1037617.12261602
107,0.1,3,227278.35805708,1037617.12261602
108,0.1,0,238024.05737532,1037617.12261601
109,0.1,3,248769.75669355,1037617.12261602
110,0.1,3,259515.45601179,1037617.12261601
111,0.1,3,270261.15533002,1037617.12261601
112,0.1,0,463683.74305826,1037617.12261602
113,0.1,0,485175.14169473,1037617.12261602
114,0.1,3,211159.80907973,1046923.17120704
115,0.1,3,221905.50839796,1046923.17120704
116,0.1,0,232651.2077162,1046923.17120704
117,0.1,3,243396.90703444,1046923.17120704
118,0.1,0,436819.49476267,1046923.17120704
119,0.1,3,479802.29203561,1046923.17120704
120,0.1,3,205786.95942061,1056229.21979806
121,0.1,3,216532.65873885,1056229.21979806
122,0.1,0,227278.35805708,1056229.21979806
123,0.1,0,238024.05737532,1056229.21979806
124,0.1,0,399209.54714885,1056229.21979806
125,0.1,0,409955.24646708,1056229.21979806
126,0.1,3,442192.34442179,1056229.21979806
127,0.1,0,452938.04374003,1056229.21979806
128,0.1,0,463683.74305826,1056229.21979806
129,0.1,3,200414.10976149,1065535.26838907
130,0.1,3,211159.80907973,1065535.26838908
131,0.1,0,221905.50839796,1065535.26838908
132,0.1,0,393836.69748973,1065535.26838908
133,0.1,0,404582.39680797,1065535.26838908
134,0.1,3,426073.79544444,1065535.26838908
135,0.1,3,195041.26010238,1074841.3169801
136,0.1,3,205786.95942061,1074841.3169801
137,0.1,0,216532.65873885,1074841.3169801
138,0.1,0,377718.14851238,1074841.31698009
139,0.1,0,388463.84783061,1074841.3169801
140,0.1,0,399209.54714885,1074841.3169801
141,0.1,0,431446.64510356,1074841.3169801
142,0.1,0,485175.14169473,1074841.3169801
143,0.1,3,189668.41044326,1084147.36557112
144,0.1,0,200414.10976149,1084147.36557112
145,0.1,0,211159.80907973,1084147.36557112
146,0.1,0,372345.29885326,1084147.36557112
147,0.1,3,383090.9981715,1084147.36557112
148,0.1,0,393836.69748973,1084147.36557112
149,0.1,3,415328.0961262,1084147.36557112
150,0.1,3,173549.86146591,1093453.41416214
151,0.1,3,184295.56078414,1093453.41416214
152,0.1,0,195041.26010238,1093453.41416214
153,0.1,3,205786.95942061,1093453.41416214
154,0.1,0,409955.24646708,1093453.41416214
155,0.1,3,168177.01180679,1102759.46275316
156,0.1,0,178922.71112502,1102759.46275316
157,0.1,0,189668.41044326,1102759.46275316
158,0.1,0,361599.59953502,1102759.46275316
159,0.1,0,372345.29885326,1102759.46275316
160,0.1,0,426073.79544444,1102759.46275316
161,0.1,3,162804.16214767,1112065.51134418
162,0.1,0,173549.86146591,1112065.51134418
163,0.1,3,356226.74987591,1112065.51134418
164,0.1,0,366972.44919414,1112065.51134418
165,0.1,0,377718.14851238,1112065.51134418
166,0.1,0,146685.61317032,1121371.5599352
167,0.1,0,168177.01180679,1121371.5599352
168,0.1,0,350853.90021679,1121371.5599352
169,0.1,0,141312.7635112,1130677.60852623
170,0.1,0,152058.46282943,1130677.60852623
171,0.1,3,366972.44919414,1130677.60852623
172,0.1,0,135939.91385208,1139983.65711725
173,0.1,0,146685.61317032,1139983.65711724
174,0.1,3,130567.06419296,1149289.70570827
175,0.1,0,141312.7635112,1149289.70570826
176,0.1,3,114448.51521561,1158595.75429929
177,0.1,0,125194.21453385,1158595.75429928
178,0.1,3,109075.66555649,1167901.80289031
179,0.1,0,119821.36487473,1167901.8028903
180,0.1,3,313243.95260297,1167901.80289031
181,0.1,3,103702.81589737,1177207.85148132
182,0.1,0,114448.51521561,1177207.85148132
183,0.1,3,87584.26692002,1186513.90007235
184,0.1,3,98329.96623826,1186513.90007235
185,0.1,0,109075.66555649,1186513.90007235
186,0.1,0,195041.26010238,1186513.90007235
187,0.1,0,227278.35805708,1186513.90007235
188,0.1,3,49974.3193062,1195819.94866337
189,0.1,0,60720.01862443,1195819.94866337
190,0.1,0,71465.71794267,1195819.94866337
191,0.1,0,82211.4172609,1195819.94866337
192,0.1,0,103702.81589737,1195819.94866337
193,0.1,0,189668.41044326,1195819.94866337
194,0.1,0,200414.10976149,1195819.94866337
195,0.1,3,211159.80907973,1195819.94866337
196,0.1,0,221905.50839796,1195819.94866337
