species,pu,amount
1,1,2
2,1,0.000201062792653857
1,2,1
2,2,2.35294685075139e-10
1,3,1
2,3,8.38997349833832e-07
1,4,1
2,4,1.25608236892816e-07
1,5,1
2,5,3.14844391481362e-07
1,6,1
2,6,5.71014543587972e-08
1,7,0
2,7,0
1,8,0
2,8,0
1,9,2
2,9,3.28145448908112e-06
1,10,0
2,10,0
1,11,1
2,11,4.55829321275118e-06
1,12,1
2,12,0.000733850042748652
1,13,1
2,13,5.18373044594823e-06
1,14,1
2,14,1.12910992282284e-07
1,15,1
2,15,8.04909385177159e-08
1,16,0
2,16,0
1,17,1
2,17,9.70639090836383e-08
1,18,0
2,18,0
1,19,0
2,19,0
1,20,1
2,20,0
1,21,1
2,21,2.36218221485608e-10
1,22,0
2,22,0
1,23,0
2,23,0
1,24,0
2,24,0
1,25,0
2,25,0
1,26,0
2,26,0
1,27,0
2,27,0
1,28,0
2,28,0
1,29,1
2,29,8.01065894453288e-11
1,30,0
2,30,0
1,31,0
2,31,0
1,32,0
2,32,0
1,33,0
2,33,0
1,34,0
2,34,0
1,35,0
2,35,0
1,36,0
2,36,0
1,37,0
2,37,0
1,38,0
2,38,0
1,39,1
2,39,1.67541473018388e-05
1,40,0
2,40,0
1,41,1
2,41,8.96383254085619e-06
1,42,0
2,42,0
1,43,0
2,43,0
1,44,0
2,44,0
1,45,0
2,45,0
1,46,1.33333333333333
2,46,7.62651065130473e-07
1,47,0
2,47,0
1,48,0
2,48,0
1,49,1
2,49,8.15296802485421e-07
1,50,0
2,50,0
1,51,1
2,51,5.17376853360969e-06
1,52,0
2,52,0
1,53,0
2,53,0
1,54,0
2,54,0
1,55,0
2,55,0
1,56,1
2,56,1.41426976864279e-05
1,57,1
2,57,3.80224607253684e-09
1,58,0
2,58,0
1,59,0
2,59,0
1,60,0
2,60,0
1,61,1
2,61,2.99658332729708e-05
1,62,0
2,62,0
1,63,0
2,63,0
1,64,1.75
2,64,8.07215042944089e-07
1,65,1
2,65,6.9061231705928e-09
1,66,1
2,66,2.5596590230434e-05
1,67,0
2,67,0
1,68,0
2,68,0
1,69,0
2,69,0
1,70,0
2,70,0
1,71,0
2,71,0
1,72,0
2,72,0
1,73,1.75
2,73,2.92410391147864e-05
1,74,0
2,74,0
1,75,0
2,75,0
1,76,0
2,76,0
1,77,0
2,77,0
1,78,0
2,78,0
1,79,0
2,79,0
1,80,0
2,80,0
1,81,1
2,81,0.00261525519365415
1,82,0
2,82,0
1,83,1.5
2,83,4.03781813456305e-08
1,84,0
2,84,0
1,85,0
2,85,0
1,86,0
2,86,0
1,87,1
2,87,1.85336984866062e-07
1,88,1
2,88,0.00127891734498793
1,89,1
2,89,4.21877733216397e-06
1,90,1
2,90,5.49300245430372e-07
1,91,0
2,91,0
1,92,0
2,92,0
1,93,0
2,93,0
1,94,0
2,94,0
1,95,0
2,95,0
1,96,1.2
2,96,2.85172311678296e-06
1,97,0
2,97,0
1,98,1
2,98,0.00039249933746238
1,99,1.5
2,99,0.000210809849685126
1,100,0
2,100,0
1,101,0
2,101,0
1,102,0
2,102,0
1,103,0
2,103,0
1,104,0
2,104,0
1,105,1
2,105,3.06983126892514e-09
1,106,1
2,106,9.60981604962535e-05
1,107,1
2,107,0.000203573718398108
1,108,0
2,108,0
1,109,0
2,109,0
1,110,0
2,110,0
1,111,0
2,111,0
1,112,1
2,112,9.39774246377178e-09
1,113,2
2,113,4.71505908174811e-09
1,114,1
2,114,5.52107020821446e-06
1,115,1
2,115,0
1,116,0
2,116,0
1,117,0
2,117,0
1,118,3.66666666666667
2,118,2.1072476841597e-05
1,119,1
2,119,6.46742171963633e-08
1,120,0
2,120,0
1,121,1
2,121,0.000479906387673205
1,122,0
2,122,0
1,123,0
2,123,0
1,124,0
2,124,0
1,125,0
2,125,0
1,126,5.44444444444444
2,126,1.42886906066257e-05
1,127,1
2,127,1.50789924002095e-06
1,128,0
2,128,0
1,129,1
2,129,5.28354552483745e-08
1,130,1
2,130,0.00029420527219548
1,131,0
2,131,0
1,132,1
2,132,1.25221714379197e-09
1,133,0
2,133,0
1,134,2
2,134,1.35828696230618e-05
1,135,0
2,135,0
1,136,1
2,136,1.47575862310787e-06
1,137,0
2,137,0
1,138,0
2,138,0
1,139,1
2,139,1.96838694668165e-09
1,140,0
2,140,0
1,141,1
2,141,0
1,142,0
2,142,0
1,143,0
2,143,0
1,144,0
2,144,0
1,145,0
2,145,0
1,146,0
2,146,0
1,147,1
2,147,2.11965177433714e-09
1,148,0
2,148,0
1,149,2.33333333333333
2,149,7.57940235589657e-08
1,150,0
2,150,0
1,151,0
2,151,0
1,152,0
2,152,0
1,153,0
2,153,0
1,154,1.16666666666667
2,154,1.48923822194539e-09
1,155,1
2,155,1.29421939138433e-19
1,156,0
2,156,0
1,157,0
2,157,0
1,158,0
2,158,0
1,159,0
2,159,0
1,160,0
2,160,0
1,161,0
2,161,0
1,162,0
2,162,0
1,163,0
2,163,0
1,164,1
2,164,9.77202213795348e-11
1,165,0
2,165,0
1,166,0
2,166,0
1,167,0
2,167,0
1,168,0
2,168,0
1,169,2
2,169,0.0035869319261602
1,170,0
2,170,0
1,171,0
2,171,0
1,172,0
2,172,0
1,173,0
2,173,0
1,174,0
2,174,0
1,175,0
2,175,0
1,176,1
2,176,0.0116307673945764
1,177,1
2,177,3.22681213426794e-05
1,178,1
2,178,0.00378710249453186
1,179,0
2,179,0
1,180,0
2,180,0
1,181,1
2,181,0.00378798617557696
1,182,0
2,182,0
1,183,1
2,183,0.0336571154641524
1,184,0
2,184,0
1,185,0
2,185,0
1,186,0
