species,pu,amount
1,153,0
2,153,0
1,154,2.66666666666667
2,154,5.48474148450278e-07
1,155,2
2,155,0
1,156,0
2,156,0
1,157,0
2,157,0
1,158,1
2,158,2.10472933528554e-18
1,159,0
2,159,0
1,160,0
2,160,0
1,161,1
2,161,3.07207671650394e-05
1,162,0
2,162,0
1,163,1
2,163,2.48847712209618e-10
1,164,1
2,164,2.29773292232718e-10
1,165,0
2,165,0
1,166,3
2,166,0.000569367938658497
1,167,0
2,167,0
1,168,1
2,168,6.46710589106385e-09
1,169,2
2,169,0.000488500410055415
1,170,0
2,170,0
1,171,0
2,171,0
1,172,1
2,172,0.000846126286117968
1,173,1
2,173,0
1,174,1.66666666666667
2,174,0.000971288786428387
1,175,0
2,175,0
1,176,2
2,176,0.00917309143915637
1,177,1
2,177,0.0027706842641245
1,178,1
2,178,0.00186394723763442
1,179,1
2,179,0.00602930660584371
1,180,0
2,180,0
1,181,1.33333333333333
2,181,0.00702441442868181
1,182,1
2,182,0.00635247760439513
1,183,1
2,183,0.0141521385894906
1,184,0
2,184,0
1,185,0
2,185,0
1,186,1
2,186,0.0719986103751942
1,187,0
2,187,0
1,188,1
2,188,0.0107046778031372
1,189,1
2,189,0.0233401327942587
1,190,0
2,190,0
1,191,0
2,191,0
1,192,0
2,192,0
1,193,3.22222222222222
2,193,0.42564024660148
1,194,1.4
2,194,0.157933164378827
1,195,1
2,195,0.0531562561030683
1,196,1
2,196,0.0483168478746116
1,197,1
2,197,0.0447405310683777
1,198,1
2,198,0.00916072390807224
1,199,0
2,199,0
1,200,0
2,200,0
1,201,0
2,201,0
1,202,0
2,202,0
1,203,0
2,203,0
1,204,1
2,204,0.0848142555075054
1,205,1.66666666666667
2,205,0.133655362859499
1,206,1
2,206,0.0288501343092301
1,207,1.5
2,207,0.0845021988302857
1,208,1.33333333333333
2,208,0.0394772021806596
1,209,0
2,209,0
1,210,0
2,210,0
1,211,0
2,211,0
1,212,0
2,212,0
1,213,0
2,213,0
1,214,1
2,214,0.00390147890867825
1,215,0
2,215,0
1,216,0
2,216,0
1,217,0
2,217,0
1,218,1
2,218,0.131617066089619
1,219,1
2,219,0.0762738927678216
1,220,0
2,220,0
1,221,2.66666666666667
2,221,0.0962223759061106
1,222,1
2,222,0.20875247779003
1,223,1.5
2,223,0.0451841961584738
1,224,1
2,224,0.0132799370119324
1,225,0
2,225,0
1,226,0
2,226,0
1,227,1
2,227,0.0310934731015767
1,228,1
2,228,0.0319679768851815
1,229,1
2,229,0.112649250135663
1,230,1
2,230,0.0582082366462112
1,231,0
2,231,0
1,232,1
2,232,0.178157068388993
1,233,0
2,233,0
1,234,1.57142857142857
2,234,0.0905317685843246
1,235,1
2,235,0.115089994547751
1,236,1
2,236,0.0271000800401037
1,237,0
2,237,0
1,238,1
2,238,0.0276333813365262
1,239,1
2,239,0.046012105884457
1,240,3
2,240,0.176580617300082
1,241,1
2,241,0.0632989086603134
1,242,1
2,242,0.0692730179342243
1,243,0
2,243,0
1,244,0
2,244,0
1,245,2.125
2,245,0.128052735001037
1,246,1
2,246,0.0325519249381939
1,247,1.5
2,247,0.0519879388147216
1,248,1.5
2,248,0.0609260696984707
1,249,0
2,249,0
1,250,1
2,250,0.196440149534665
1,251,1
2,251,0.0780634153221908
1,252,1.33333333333333
2,252,0.00803213908616422
1,253,1.33333333333333
2,253,0.0136066520145628
1,254,0
2,254,0
1,255,1.5
2,255,0.0266477984548261
1,256,2
2,256,0.13906220152013
1,257,1.71428571428571
2,257,0.0991975721325774
1,258,1
2,258,0.07527682975383
1,259,0
2,259,0
1,260,1.25
2,260,0.0172887604242648
1,261,1
2,261,0.00068361212593656
1,262,0
2,262,0
1,263,1
2,263,0.05731862033144
1,264,1.5
2,264,0.0892014571599429
1,265,0
2,265,0
1,266,1.5
2,266,0.0278065353875774
1,267,1.2
2,267,0.00978979981468213
1,268,1
2,268,0.0424845027975845
1,269,2
2,269,0.0532444098564269
1,270,1.33333333333333
2,270,0.0800319059451157
1,271,1.5
2,271,0.144111620553574
1,272,1.5
2,272,0.175021401602649
1,273,1.4
2,273,0.134784617345924
1,274,0
2,274,0
1,275,1
2,275,0.048423911260876
1,276,1
2,276,0.0204601549103854
1,277,1.71428571428571
2,277,0.0306370905134023
1,278,1
2,278,0.00524656656360759
1,279,2
2,279,0.0311824790397705
1,280,1.5
2,280,0.0167212280186543
1,281,1
2,281,0.010458665156305
1,282,1
2,282,0.0107204013423132
1,283,1
2,283,0.0145556145046165
1,284,1.25
2,284,0.0269881508080597
1,285,1.8
2,285,0.0512988356629191
1,286,1
2,286,0.0399284527158125
1,287,2.88888888888889
2,287,0.135252908701345
1,288,1
2,288,0.0443646572196527
1,289,1
2,289,0.00837478258455688
1,290,2
2,290,0.0602053729510581
1,291,2
2,291,0.0189690599831254
1,292,1
2,292,0.00402506971085368
1,293,1
2,293,0.00239277571490054
1,294,0
2,294,0
1,295,0
2,295,0
1,296,0
2,296,0
1,297,1
2,297,0.0138199047040631
1,298,1.66666666666667
