species,pu,amount
1,1,0
2,1,0
1,2,0
2,2,0
1,3,0
2,3,0
1,4,0
2,4,0
1,5,0
2,5,0
1,6,0
2,6,0
1,7,0
2,7,0
1,8,0
2,8,0
1,9,0
2,9,0
1,10,1
2,10,0.00972684255101017
1,11,0
2,11,0
1,12,0
2,12,0
1,13,0
2,13,0
1,14,0
2,14,0
1,15,0
2,15,0
1,16,0
2,16,0
1,17,0
2,17,0
1,18,0
2,18,0
1,19,1
2,19,0.00230294255367368
1,20,0
2,20,0
1,21,4.9
2,21,0.00562568785474123
1,22,1.66666666666667
2,22,0.0021538757153186
1,23,0
2,23,0
1,24,0
2,24,0
1,25,0
2,25,0
1,26,0
2,26,0
1,27,0
2,27,0
1,28,0
2,28,0
1,29,0
2,29,0
1,30,0
2,30,0
1,31,0
2,31,0
1,32,0
2,32,0
1,33,1
2,33,0.0241525909280007
1,34,3.5
2,34,0.00910502103364343
1,35,0
2,35,0
1,36,0
2,36,0
1,37,0
2,37,0
1,38,7
2,38,0.00246573712911404
1,39,1
2,39,0.000277670118419852
1,40,0
2,40,0
1,41,0
2,41,0
1,42,0
2,42,0
1,43,1.14285714285714
2,43,0.000581589003012219
1,44,1
2,44,0.00485817313804369
1,45,1.88888888888889
2,45,0.01603656330572
1,46,0
2,46,0
1,47,0
2,47,0
1,48,0
2,48,0
1,49,0
2,49,0
1,50,0
2,50,0
1,51,0
2,51,0
1,52,0
2,52,0
1,53,1
2,53,7.52841053127193e-05
1,54,1
2,54,0.00394191850256196
1,55,1
2,55,0.000816985841904536
1,56,0
2,56,0
1,57,0
2,57,0
1,58,0
2,58,0
1,59,0
2,59,0
1,60,0
2,60,0
1,61,3.28571428571429
2,61,0.00148825414284637
1,62,6.5
2,62,0.000897724970079817
1,63,2.8
2,63,0.00164018454885574
1,64,0
2,64,0
1,65,0
2,65,0
1,66,0
2,66,0
1,67,0
2,67,0
1,68,0
2,68,0
1,69,12.3
2,69,0.00248668378576469
1,70,55.1
2,70,0.00210510443652286
1,71,17.2
2,71,0.000875271207403181
1,72,0
2,72,0
1,73,0
2,73,0
1,74,0
2,74,0
1,75,0
2,75,0
1,76,0
2,76,0
1,77,8
2,77,0.00136089597130114
1,78,43.8
2,78,0.00213467694242213
1,79,2
2,79,0.000141967822285498
1,80,0
2,80,0
1,81,0
2,81,0
1,82,0
2,82,0
1,83,0
2,83,0
1,84,0
2,84,0
