id,cost,status,xloc,yloc
50,1,0,-82463.8185403,1589614.6716899
51,1,3,-72463.8185403,1589614.6716899
52,1,3,-62463.8185403,1589614.6716899
53,1,0,-52463.8185403,1589614.6716899
54,1,0,-42463.8185403,1589614.6716899
55,1,3,-32463.8185403,1589614.6716899
56,1,0,-212463.8185403,1579614.6716899
57,1,3,-202463.8185403,1579614.6716899
58,1,0,-192463.8185403,1579614.6716899
59,1,3,-182463.8185403,1579614.6716899
60,1,0,-172463.8185403,1579614.6716899
61,1,0,-162463.8185403,1579614.6716899
62,1,0,-152463.8185403,1579614.6716899
63,1,3,-142463.8185403,1579614.6716899
64,1,3,-132463.8185403,1579614.6716899
65,1,3,-122463.8185403,1579614.6716899
66,1,0,-112463.8185403,1579614.6716899
67,1,0,-102463.8185403,1579614.6716899
68,1,0,-92463.8185403,1579614.6716899
69,1,0,-82463.8185403,1579614.6716899
70,1,0,-72463.8185403,1579614.6716899
71,1,0,-62463.8185403,1579614.6716899
72,1,0,-42463.8185403,1579614.6716899
73,1,3,-32463.8185403,1579614.6716899
74,1,3,-222463.8185403,1569614.6716899
75,1,0,-212463.8185403,1569614.6716899
76,1,0,-162463.8185403,1569614.6716899
77,1,0,-142463.8185403,1569614.6716899
78,1,0,-132463.8185403,1569614.6716899
79,1,0,-122463.8185403,1569614.6716899
80,1,3,-112463.8185403,1569614.6716899
81,1,3,-102463.8185403,1569614.6716899
82,1,3,-92463.8185403,1569614.6716899
83,1,0,-82463.8185403,1569614.6716899
84,1,3,-72463.8185403,1569614.6716899
85,1,0,-62463.8185403,1569614.6716899
86,1,3,-32463.8185403,1569614.6716899
87,1,3,-22463.8185403,1569614.6716899
88,1,3,-222463.8185403,1559614.6716899
89,1,3,-212463.8185403,1559614.6716899
90,1,3,-102463.8185403,1559614.6716899
91,1,0,-92463.8185403,1559614.6716899
92,1,0,-82463.8185403,1559614.6716899
93,1,0,-72463.8185403,1559614.6716899
94,1,0,-62463.8185403,1559614.6716899
95,1,0,-52463.8185403,1559614.6716899
96,1,3,-42463.8185403,1559614.6716899
97,1,3,-222463.8185403,1549614.6716899
98,1,3,-212463.8185403,1549614.6716899
99,1,3,-102463.8185403,1549614.6716899
100,1,0,-92463.8185403,1549614.6716899
101,1,0,-82463.8185403,1549614.6716899
102,1,0,-72463.8185403,1549614.6716899
103,1,0,-62463.8185403,1549614.6716899
104,1,0,-52463.8185403,1549614.6716899
105,1,3,-212463.8185403,1539614.6716899
106,1,3,-112463.8185403,1539614.6716899
107,1,3,-102463.8185403,1539614.6716899
108,1,3,-92463.8185403,1539614.6716899
109,1,0,-82463.8185403,1539614.6716899
110,1,0,-72463.8185403,1539614.6716899
111,1,0,-62463.8185403,1539614.6716899
112,1,0,-52463.8185403,1539614.6716899
113,1,0,-212463.8185403,1529614.6716899
114,1,3,-112463.8185403,1529614.6716899
115,1,3,-102463.8185403,1529614.6716899
116,1,0,-92463.8185403,1529614.6716899
117,1,0,-82463.8185403,1529614.6716899
118,1,0,-72463.8185403,1529614.6716899
119,1,0,-62463.8185403,1529614.6716899
120,1,0,-52463.8185403,1529614.6716899
121,1,0,77536.1814597,1529614.6716899
122,1,0,-202463.8185403,1519614.6716899
123,1,3,-122463.8185403,1519614.6716899
124,1,3,-112463.8185403,1519614.6716899
125,1,3,-102463.8185403,1519614.6716899
126,1,0,-92463.8185403,1519614.6716899
127,1,0,-82463.8185403,1519614.6716899
128,1,0,-72463.8185403,1519614.6716899
129,1,0,-62463.8185403,1519614.6716899
130,1,0,-52463.8185403,1519614.6716899
131,1,0,-42463.8185403,1519614.6716899
132,1,3,-32463.8185403,1519614.6716899
133,1,0,-202463.8185403,1509614.6716899
134,1,3,-122463.8185403,1509614.6716899
135,1,3,-112463.8185403,1509614.6716899
136,1,3,-102463.8185403,1509614.6716899
137,1,0,-92463.8185403,1509614.6716899
138,1,0,-82463.8185403,1509614.6716899
139,1,0,-72463.8185403,1509614.6716899
140,1,0,-62463.8185403,1509614.6716899
141,1,0,-52463.8185403,1509614.6716899
142,1,0,-42463.8185403,1509614.6716899
143,1,3,-122463.8185403,1499614.6716899
144,1,3,-112463.8185403,1499614.6716899
145,1,3,-102463.8185403,1499614.6716899
146,1,0,-92463.8185403,1499614.6716899
147,1,0,-82463.8185403,1499614.6716899
148,1,0,-72463.8185403,1499614.6716899
149,1,0,-62463.8185403,1499614.6716899
150,1,3,-52463.8185403,1499614.6716899
151,1,0,-42463.8185403,1499614.6716899
152,1,3,-2463.8185403,1499614.6716899
153,1,0,-192463.8185403,1489614.6716899
154,1,0,-182463.8185403,1489614.6716899
155,1,3,-122463.8185403,1489614.6716899
156,1,3,-112463.8185403,1489614.6716899
157,1,3,-102463.8185403,1489614.6716899
158,1,0,-92463.8185403,1489614.6716899
159,1,0,-82463.8185403,1489614.6716899
160,1,0,-72463.8185403,1489614.6716899
161,1,3,-62463.8185403,1489614.6716899
162,1,3,-52463.8185403,1489614.6716899
163,1,0,-42463.8185403,1489614.6716899
164,1,0,-32463.8185403,1489614.6716899
165,1,3,-122463.8185403,1479614.6716899
166,1,3,-112463.8185403,1479614.6716899
167,1,3,-102463.8185403,1479614.6716899
168,1,0,-92463.8185403,1479614.6716899
169,1,0,-82463.8185403,1479614.6716899
170,1,0,-72463.8185403,1479614.6716899
171,1,3,-62463.8185403,1479614.6716899
172,1,3,-52463.8185403,1479614.6716899
173,1,0,-42463.8185403,1479614.6716899
174,1,0,-32463.8185403,1479614.6716899
175,1,0,-22463.8185403,1479614.6716899
176,1,3,-112463.8185403,1469614.6716899
177,1,3,-102463.8185403,1469614.6716899
178,1,0,-92463.8185403,1469614.6716899
179,1,0,-82463.8185403,1469614.6716899
180,1,0,-72463.8185403,1469614.6716899
181,1,3,-62463.8185403,1469614.6716899
182,1,3,-52463.8185403,1469614.6716899
183,1,3,-42463.8185403,1469614.6716899
184,1,0,-32463.8185403,1469614.6716899
185,1,0,-22463.8185403,1469614.6716899
186,1,0,-12463.8185403,1469614.6716899
187,1,0,17536.1814597,1469614.6716899
188,1,0,37536.1814597,1469614.6716899
189,1,0,57536.1814597,1469614.6716899
190,1,3,-102463.8185403,1459614.6716899
191,1,0,-92463.8185403,1459614.6716899
192,1,0,-82463.8185403,1459614.6716899
193,1,0,-72463.8185403,1459614.6716899
194,1,0,-62463.8185403,1459614.6716899
195,1,3,-52463.8185403,1459614.6716899
196,1,3,-42463.8185403,1459614.6716899
197,1,3,-32463.8185403,1459614.6716899
198,1,0,-22463.8185403,1459614.6716899
199,1,0,-12463.8185403,1459614.6716899
200,1,0,-2463.8185403,1459614.6716899
201,1,0,57536.1814597,1459614.6716899
202,1,3,-102463.8185403,1449614.6716899
203,1,0,-92463.8185403,1449614.6716899
204,1,0,-82463.8185403,1449614.6716899
205,1,0,-72463.8185403,1449614.6716899
206,1,0,-62463.8185403,1449614.6716899
207,1,0,-52463.8185403,1449614.6716899
208,1,3,-42463.8185403,1449614.6716899
209,1,3,-32463.8185403,1449614.6716899
210,1,3,-22463.8185403,1449614.6716899
211,1,0,-12463.8185403,1449614.6716899
212,1,0,-2463.8185403,1449614.6716899
213,1,0,7536.1814597,1449614.6716899
214,1,3,97536.1814597,1449614.6716899
215,1,0,-162463.8185403,1439614.6716899
216,1,3,-102463.8185403,1439614.6716899
217,1,0,-92463.8185403,1439614.6716899
218,1,0,-82463.8185403,1439614.6716899
219,1,0,-72463.8185403,1439614.6716899
220,1,0,-62463.8185403,1439614.6716899
221,1,0,-52463.8185403,1439614.6716899
222,1,0,-42463.8185403,1439614.6716899
223,1,3,-32463.8185403,1439614.6716899
224,1,3,-22463.8185403,1439614.6716899
225,1,3,-12463.8185403,1439614.6716899
226,1,3,-2463.8185403,1439614.6716899
227,1,3,7536.1814597,1439614.6716899
228,1,0,17536.1814597,1439614.6716899
229,1,0,37536.1814597,1439614.6716899
230,1,0,-92463.8185403,1429614.6716899
231,1,0,-82463.8185403,1429614.6716899
232,1,0,-72463.8185403,1429614.6716899
233,1,0,-62463.8185403,1429614.6716899
234,1,0,-52463.8185403,1429614.6716899
235,1,3,-42463.8185403,1429614.6716899
236,1,3,-32463.8185403,1429614.6716899
237,1,3,-22463.8185403,1429614.6716899
238,1,3,-12463.8185403,1429614.6716899
239,1,3,7536.1814597,1429614.6716899
240,1,0,17536.1814597,1429614.6716899
241,1,0,27536.1814597,1429614.6716899
242,1,0,37536.1814597,1429614.6716899
243,1,0,47536.1814597,1429614.6716899
244,1,0,-102463.8185403,1419614.6716899
245,1,0,-92463.8185403,1419614.6716899
246,1,0,-82463.8185403,1419614.6716899
247,1,0,-72463.8185403,1419614.6716899
248,1,0,-62463.8185403,1419614.6716899
249,1,3,-52463.8185403,1419614.6716899
250,1,3,-42463.8185403,1419614.6716899
251,1,3,-32463.8185403,1419614.6716899
252,1,3,-22463.8185403,1419614.6716899
253,1,3,-12463.8185403,1419614.6716899
254,1,3,7536.1814597,1419614.6716899
255,1,3,17536.1814597,1419614.6716899
256,1,3,27536.1814597,1419614.6716899
257,1,0,37536.1814597,1419614.6716899
258,1,0,57536.1814597,1419614.6716899
259,1,3,127536.1814597,1419614.6716899
260,1,0,-92463.8185403,1409614.6716899
261,1,0,-82463.8185403,1409614.6716899
262,1,0,-72463.8185403,1409614.6716899
263,1,0,-62463.8185403,1409614.6716899
264,1,3,-52463.8185403,1409614.6716899
265,1,3,-42463.8185403,1409614.6716899
266,1,3,-32463.8185403,1409614.6716899
267,1,3,-22463.8185403,1409614.6716899
268,1,3,-12463.8185403,1409614.6716899
269,1,3,17536.1814597,1409614.6716899
270,1,0,27536.1814597,1409614.6716899
271,1,3,97536.1814597,1409614.6716899
272,1,0,-92463.8185403,1399614.6716899
273,1,3,-82463.8185403,1399614.6716899
274,1,3,-72463.8185403,1399614.6716899
275,1,3,-62463.8185403,1399614.6716899
276,1,3,-52463.8185403,1399614.6716899
277,1,3,-42463.8185403,1399614.6716899
278,1,3,-32463.8185403,1399614.6716899
279,1,3,-22463.8185403,1399614.6716899
280,1,3,7536.1814597,1399614.6716899
281,1,3,17536.1814597,1399614.6716899
282,1,0,27536.1814597,1399614.6716899
283,1,3,47536.1814597,1399614.6716899
284,1,0,77536.1814597,1399614.6716899
285,1,0,-92463.8185403,1389614.6716899
286,1,0,-82463.8185403,1389614.6716899
287,1,3,-72463.8185403,1389614.6716899
288,1,3,-62463.8185403,1389614.6716899
289,1,3,-52463.8185403,1389614.6716899
290,1,3,-42463.8185403,1389614.6716899
291,1,3,-32463.8185403,1389614.6716899
292,1,3,7536.1814597,1389614.6716899
293,1,3,17536.1814597,1389614.6716899
294,1,0,27536.1814597,1389614.6716899
295,1,0,37536.1814597,1389614.6716899
296,1,0,47536.1814597,1389614.6716899
297,1,0,117536.1814597,1389614.6716899
298,1,0,-112463.8185403,1379614.6716899
299,1,0,-82463.8185403,1379614.6716899
300,1,3,-72463.8185403,1379614.6716899
301,1,3,-62463.8185403,1379614.6716899
302,1,3,-52463.8185403,1379614.6716899
303,1,3,-42463.8185403,1379614.6716899
304,1,3,-32463.8185403,1379614.6716899
305,1,3,7536.1814597,1379614.6716899
306,1,3,17536.1814597,1379614.6716899
307,1,3,27536.1814597,1379614.6716899
308,1,0,37536.1814597,1379614.6716899
309,1,0,47536.1814597,1379614.6716899
310,1,0,57536.1814597,1379614.6716899
311,1,0,67536.1814597,1379614.6716899
312,1,0,77536.1814597,1379614.6716899
313,1,0,-72463.8185403,1369614.6716899
314,1,3,-62463.8185403,1369614.6716899
315,1,3,-52463.8185403,1369614.6716899
316,1,3,-42463.8185403,1369614.6716899
317,1,3,-32463.8185403,1369614.6716899
318,1,3,-2463.8185403,1369614.6716899
319,1,3,7536.1814597,1369614.6716899
320,1,3,17536.1814597,1369614.6716899
321,1,3,27536.1814597,1369614.6716899
322,1,3,37536.1814597,1369614.6716899
323,1,3,47536.1814597,1369614.6716899
324,1,3,57536.1814597,1369614.6716899
325,1,0,67536.1814597,1369614.6716899
326,1,0,77536.1814597,1369614.6716899
327,1,3,97536.1814597,1369614.6716899
328,1,3,-62463.8185403,1359614.6716899
329,1,3,-52463.8185403,1359614.6716899
330,1,3,-42463.8185403,1359614.6716899
331,1,3,-32463.8185403,1359614.6716899
332,1,3,-2463.8185403,1359614.6716899
333,1,3,7536.1814597,1359614.6716899
334,1,3,17536.1814597,1359614.6716899
335,1,3,27536.1814597,1359614.6716899
336,1,3,37536.1814597,1359614.6716899
337,1,3,47536.1814597,1359614.6716899
338,1,3,57536.1814597,1359614.6716899
339,1,3,67536.1814597,1359614.6716899
340,1,3,77536.1814597,1359614.6716899
341,1,0,87536.1814597,1359614.6716899
342,1,0,97536.1814597,1359614.6716899
343,1,0,-62463.8185403,1349614.6716899
344,1,3,-52463.8185403,1349614.6716899
345,1,3,-42463.8185403,1349614.6716899
346,1,3,-2463.8185403,1349614.6716899
347,1,3,7536.1814597,1349614.6716899
348,1,3,17536.1814597,1349614.6716899
349,1,3,27536.1814597,1349614.6716899
350,1,3,37536.1814597,1349614.6716899
351,1,3,47536.1814597,1349614.6716899
352,1,3,57536.1814597,1349614.6716899
353,1,3,67536.1814597,1349614.6716899
354,1,3,77536.1814597,1349614.6716899
355,1,3,87536.1814597,1349614.6716899
356,1,0,97536.1814597,1349614.6716899
357,1,0,-62463.8185403,1339614.6716899
358,1,3,-12463.8185403,1339614.6716899
359,1,3,-2463.8185403,1339614.6716899
360,1,3,7536.1814597,1339614.6716899
361,1,3,17536.1814597,1339614.6716899
362,1,3,27536.1814597,1339614.6716899
363,1,3,37536.1814597,1339614.6716899
364,1,3,47536.1814597,1339614.6716899
365,1,3,57536.1814597,1339614.6716899
366,1,3,67536.1814597,1339614.6716899
367,1,3,77536.1814597,1339614.6716899
368,1,3,87536.1814597,1339614.6716899
369,1,0,97536.1814597,1339614.6716899
370,1,3,-62463.8185403,1329614.6716899
371,1,3,-52463.8185403,1329614.6716899
372,1,3,-12463.8185403,1329614.6716899
373,1,3,-2463.8185403,1329614.6716899
374,1,3,7536.1814597,1329614.6716899
375,1,3,17536.1814597,1329614.6716899
376,1,3,27536.1814597,1329614.6716899
377,1,3,37536.1814597,1329614.6716899
378,1,3,47536.1814597,1329614.6716899
379,1,3,57536.1814597,1329614.6716899
380,1,3,67536.1814597,1329614.6716899
381,1,3,77536.1814597,1329614.6716899
382,1,3,87536.1814597,1329614.6716899
383,1,0,97536.1814597,1329614.6716899
384,1,3,-62463.8185403,1319614.6716899
385,1,3,-22463.8185403,1319614.6716899
386,1,3,-12463.8185403,1319614.6716899
387,1,3,-2463.8185403,1319614.6716899
388,1,3,7536.1814597,1319614.6716899
389,1,3,17536.1814597,1319614.6716899
390,1,3,27536.1814597,1319614.6716899
391,1,3,37536.1814597,1319614.6716899
392,1,3,47536.1814597,1319614.6716899
393,1,3,57536.1814597,1319614.6716899
394,1,3,67536.1814597,1319614.6716899
395,1,0,77536.1814597,1319614.6716899
396,1,3,87536.1814597,1319614.6716899
397,1,3,97536.1814597,1319614.6716899
398,1,3,-22463.8185403,1309614.6716899
399,1,3,-12463.8185403,1309614.6716899
400,1,3,-2463.8185403,1309614.6716899
401,1,3,27536.1814597,1309614.6716899
402,1,3,37536.1814597,1309614.6716899
403,1,3,47536.1814597,1309614.6716899
404,1,3,57536.1814597,1309614.6716899
405,1,3,67536.1814597,1309614.6716899
406,1,0,77536.1814597,1309614.6716899
407,1,0,87536.1814597,1309614.6716899
408,1,3,97536.1814597,1309614.6716899
409,1,3,107536.1814597,1309614.6716899
410,1,0,117536.1814597,1309614.6716899
411,1,3,-22463.8185403,1299614.6716899
412,1,3,27536.1814597,1299614.6716899
413,1,3,37536.1814597,1299614.6716899
414,1,0,47536.1814597,1299614.6716899
415,1,0,57536.1814597,1299614.6716899
416,1,0,67536.1814597,1299614.6716899
417,1,0,77536.1814597,1299614.6716899
418,1,0,87536.1814597,1299614.6716899
419,1,0,97536.1814597,1299614.6716899
420,1,3,107536.1814597,1299614.6716899
421,1,0,117536.1814597,1299614.6716899
422,1,0,127536.1814597,1299614.6716899
423,1,3,7536.1814597,1289614.6716899
424,1,3,17536.1814597,1289614.6716899
425,1,3,27536.1814597,1289614.6716899
426,1,0,37536.1814597,1289614.6716899
427,1,0,47536.1814597,1289614.6716899
428,1,0,57536.1814597,1289614.6716899
429,1,0,67536.1814597,1289614.6716899
430,1,0,77536.1814597,1289614.6716899
431,1,0,87536.1814597,1289614.6716899
432,1,0,97536.1814597,1289614.6716899
433,1,3,107536.1814597,1289614.6716899
434,1,3,117536.1814597,1289614.6716899
435,1,3,7536.1814597,1279614.6716899
436,1,3,17536.1814597,1279614.6716899
437,1,3,27536.1814597,1279614.6716899
438,1,0,37536.1814597,1279614.6716899
439,1,0,47536.1814597,1279614.6716899
440,1,0,57536.1814597,1279614.6716899
441,1,0,67536.1814597,1279614.6716899
442,1,0,77536.1814597,1279614.6716899
443,1,0,87536.1814597,1279614.6716899
444,1,3,97536.1814597,1279614.6716899
445,1,3,107536.1814597,1279614.6716899
446,1,3,117536.1814597,1279614.6716899
447,1,0,127536.1814597,1279614.6716899
448,1,0,147536.1814597,1279614.6716899
449,1,3,7536.1814597,1269614.6716899
450,1,3,17536.1814597,1269614.6716899
451,1,3,27536.1814597,1269614.6716899
452,1,3,37536.1814597,1269614.6716899
453,1,0,47536.1814597,1269614.6716899
454,1,0,57536.1814597,1269614.6716899
455,1,0,67536.1814597,1269614.6716899
456,1,3,77536.1814597,1269614.6716899
457,1,3,87536.1814597,1269614.6716899
458,1,3,97536.1814597,1269614.6716899
459,1,3,107536.1814597,1269614.6716899
460,1,3,117536.1814597,1269614.6716899
461,1,0,127536.1814597,1269614.6716899
462,1,0,137536.1814597,1269614.6716899
463,1,0,157536.1814597,1269614.6716899
464,1,3,7536.1814597,1259614.6716899
465,1,3,17536.1814597,1259614.6716899
466,1,3,27536.1814597,1259614.6716899
467,1,3,37536.1814597,1259614.6716899
468,1,3,47536.1814597,1259614.6716899
469,1,3,57536.1814597,1259614.6716899
470,1,3,67536.1814597,1259614.6716899
471,1,3,77536.1814597,1259614.6716899
472,1,3,87536.1814597,1259614.6716899
473,1,3,97536.1814597,1259614.6716899
474,1,3,107536.1814597,1259614.6716899
475,1,0,117536.1814597,1259614.6716899
476,1,0,127536.1814597,1259614.6716899
477,1,0,137536.1814597,1259614.6716899
478,1,0,147536.1814597,1259614.6716899
479,1,3,67536.1814597,1249614.6716899
480,1,3,77536.1814597,1249614.6716899
481,1,3,87536.1814597,1249614.6716899
482,1,3,97536.1814597,1249614.6716899
483,1,3,107536.1814597,1249614.6716899
484,1,0,117536.1814597,1249614.6716899
485,1,0,127536.1814597,1249614.6716899
486,1,0,137536.1814597,1249614.6716899
487,1,0,147536.1814597,1249614.6716899
488,1,3,57536.1814597,1239614.6716899
489,1,3,67536.1814597,1239614.6716899
490,1,3,77536.1814597,1239614.6716899
491,1,3,87536.1814597,1239614.6716899
492,1,3,97536.1814597,1239614.6716899
