species,pu,amount
1,1,2.6
2,1,3.77081395587919e-05
1,2,2
2,2,7.57381938744951e-07
1,3,0
2,3,0
1,4,1
2,4,2.43638641390189e-16
1,5,1
2,5,2.45173202392663e-06
1,6,1.25
2,6,1.8349035086238e-06
1,7,0
2,7,0
1,8,0
2,8,0
1,9,0
2,9,0
1,10,0
2,10,0
1,11,1
2,11,2.00253332566817e-09
1,12,1
2,12,1.02205265427256e-09
1,13,1
2,13,2.88491345712535e-10
1,14,2
2,14,6.33376709158219e-06
1,15,1.5
2,15,6.4639560850223e-07
1,16,1
2,16,1.4762343009093e-06
1,17,1
2,17,1.2203804927597e-06
1,18,1
2,18,6.77913880619995e-11
1,19,1
2,19,6.20878600599705e-11
1,20,1.5
2,20,1.6887697018582e-07
1,21,1
2,21,6.37406246132444e-09
1,22,0
2,22,0
1,23,0
2,23,0
1,24,1
2,24,4.53694503339012e-10
1,25,0
2,25,0
1,26,1
2,26,1.59093382170372e-05
1,27,1
2,27,7.52204245374475e-09
1,28,2
2,28,3.45165890883719e-08
1,29,1.75
2,29,4.10902821878481e-06
1,30,1.5
2,30,5.97651406314587e-06
1,31,0
2,31,0
1,32,0
2,32,0
1,33,0
2,33,0
1,34,0
2,34,0
1,35,1.5
2,35,2.84161017928531e-05
1,36,0
2,36,0
1,37,1.5
2,37,9.2367708560373e-07
1,38,1
2,38,2.16564409617319e-05
1,39,1
2,39,2.44939846329156e-05
1,40,1
2,40,5.82262529743916e-06
1,41,1
2,41,2.80102383554018e-07
1,42,1
2,42,7.58263118612322e-17
1,43,0
2,43,0
1,44,0
2,44,0
1,45,0
2,45,0
1,46,1.2
2,46,2.63384543953259e-05
1,47,0
2,47,0
1,48,1
2,48,7.8936633541309e-06
1,49,1.33333333333333
2,49,1.89113176738957e-05
1,50,2
2,50,3.5055893410916e-05
1,51,1
2,51,4.90476094717199e-07
1,52,0
2,52,0
1,53,0
2,53,0
1,54,0
2,54,0
1,55,0
2,55,0
1,56,1
2,56,1.48145086120124e-05
1,57,1
2,57,2.6957369005422e-05
1,58,1
2,58,1.90709154708584e-06
1,59,1
2,59,2.37561487069799e-17
1,60,1
2,60,2.45409631869402e-06
1,61,1
2,61,5.6205613300109e-05
1,62,1.5
2,62,3.94912829451601e-05
1,63,0
2,63,0
1,64,4.16666666666667
2,64,2.23129306570898e-05
1,65,1.85714285714286
2,65,2.64611715068193e-05
1,66,1
2,66,2.52882268185704e-05
1,67,0
2,67,0
1,68,0
2,68,0
1,69,0
2,69,0
1,70,0
2,70,0
1,71,0
2,71,0
1,72,0
2,72,0
1,73,2.25
2,73,2.61005807114964e-05
1,74,1.33333333333333
2,74,1.09943029556471e-07
1,75,0
2,75,0
1,76,0
2,76,0
1,77,0
2,77,0
1,78,0
2,78,0
1,79,0
2,79,0
1,80,1.33333333333333
2,80,2.10437113495902e-06
1,81,2.85714285714286
2,81,3.12206620089011e-05
1,82,2.5
2,82,1.46863250206342e-06
1,83,1
2,83,4.16278566921162e-05
1,84,1
2,84,7.77875753009945e-16
1,85,0
2,85,0
1,86,0
2,86,0
1,87,2
2,87,7.18863626909122e-12
1,88,1.33333333333333
2,88,1.86636640457884e-05
1,89,2.14285714285714
2,89,1.156660856088e-05
1,90,2.16666666666667
2,90,1.77666870780246e-06
1,91,1
2,91,9.22390969070827e-07
1,92,0
2,92,0
1,93,0
2,93,0
1,94,0
2,94,0
1,95,0
2,95,0
1,96,2.125
2,96,1.11023127576545e-05
1,97,2
2,97,2.24917282272442e-08
1,98,1.57142857142857
2,98,4.7737652963934e-06
1,99,2
2,99,1.21665332004349e-05
1,100,1.875
2,100,3.39590178770221e-05
1,101,1.25
2,101,7.73507598271398e-05
1,102,0
2,102,0
1,103,0
2,103,0
1,104,0
2,104,0
1,105,1
2,105,6.33006623038667e-06
1,106,1.33333333333333
2,106,8.11919661418934e-06
1,107,2
